id,name,phone,city,specialty,registration_no,years_practice,clinic_address,pincode
1,Dr. Rajesh Sharma,9876543210,Bangalore,Cardiology,MCI10012345,8,123 MG Road Bangalore,560001
2,Dr. Priya Patel,9123456789,Mumbai,Gynecology,MCI10012346,5,789 Marine Drive Mumbai,400020
3,Dr. Arun Kumar,8765432109,Delhi,Orthopedics,MCI10012347,12,456 Connaught Place Delhi,110001
4,Dr. Sneha Singh,9988776655,Pune,Pediatrics,MCI10012348,3,321 Camp Road Pune,411001
5,Dr. Vikram Verma,9111222333,Hyderabad,Neurology,MCI10012349,15,654 Somajiguda Hyderabad,500082
6,Dr. Anita Desai,9456789123,Bangalore,Dermatology,MCI10012350,7,987 Indiranagar Bangalore,560038
7,Dr. Sanjay Reddy,919876123456,Bangalore,Ophthalmology,MCI10012351,10,111 Whitefield Bangalore,560066
8,Dr. Pooja Gupta,9645321789,Kolkata,Dentistry,MCI10012352,4,222 Park Circus Kolkata,700017
9,Dr. Amit Joshi,9988123456,Ahmedabad,Pathology,INVALID_REG,6,333 SG Highway Ahmedabad,380015
10,Dr. Nisha Nair,98765,Chennai,Neurology,MCI10012354,2,444 Teynampet Chennai,600018
11,Dr. Vikram Sharma,9876543210,Banaglore,Cardiology,MCI10012355,4,100 Brigade Road Bangalore,560001
12,Dr. Kavya Singh,9776543210,Mumbai,InvalidSpec,MCI10012356,7,45 Fort Mumbai,400001
13,Dr. Sanjay Patel,9876123456,Delhi,General Practice,MCI10012357,10,55 Rajpath Delhi,110001
14,Dr. Meera Desai,7654321098,Pune,Gynecology,MCI10012358,6,89 Koregaon Park Pune,411001
15,Dr. Akshay Kumar,9876543210,Hyderabad,Orthopedics,MCI10012359,3,200 Jubilee Hills Hyderabad,500033
16,Dr. Deepak Nair,9567890123,Bangalore,Dermatology,BADREGNO,9,220 Cubbon Road Bangalore,560001
17,Dr. Ishita Gupta,98765432109,Chennai,Pathology,MCI10012361,5,55 Teynampet Chennai,600018
18,Dr. Rohit Verma,9999999999,Mumbai,ENT,MCI10012362,2,99 Bandra Mumbai,400050
19,Dr. Priya Sharma,9876543210,Pune,Pediatrics,MCI10012363,8,150 Kalyani Nagar Pune,411006
20,Dr. Amit Singh,9876123456,Delhi,Cardiology,MCI10012364,4,75 GK Enclave Delhi,110048
21,Dr. Neha Patel,9544321098,Bangalore,Neurology,MCI10012365,11,300 Koramangala Bangalore,560034
22,Dr. Sanjay Desai,9876543210,Hyderabad,Psychiatry,MCI10012366,6,125 Somajiguda Hyderabad,500082
23,Dr. Pooja Singh,9776543210,Kolkata,Urology,MCI10012367,5,88 AJC Bose Road Kolkata,700014
24,Dr. Vikram Nair,,Ahmedabad,Oncology,MCI10012368,12,177 SG Highway Ahmedabad,380015
25,Dr. Kavya Sharma,9876543210,Mumbai,Gastroenterology,MCI10012369,7,222 Worli Mumbai,400025
